brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942050,GX 470 ,18 200 $,2007,"20""",Սպիտակ,,Ամենագնաց,272,Ձախ,8,FULL KOMPLEKTACIA-V V i T MATOR,Գազ,4.7,Շագանակագույն,185 կմ,Ավտոմատ,Լիաքարշակ
Opel, Տեղադրված է՝  22.12.2018, ID: 1942041,Astra ,2 500 $,2001,,Այլ գույն,,Հետչբեք,,Ձախ,,,Գազ,,,280000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  21.12.2018, ID: 1942015,Sportage ,6 800 $,2008,"16""",Սև,5,Ամենագնաց,173,Ձախ,6,NOR BERVATS 4x4 SHTAP,Բենզին,2.7,Սև,102000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941992,GX 470 ,23 000 $,2009,"17""",Սև,4,Ունիվերսալ,273,Ձախ,8,2009 RESTAYLING -VVT-i MATOR,Բենզին,4.7,,162000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  21.12.2018, ID: 1941986,LS 460 L ,15 000 $,2007,,Սև,,Սեդան,,Ձախ,,4.6,Բենզին,,,240000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  21.12.2018, ID: 1941984,Sorento ,4 500 $,2008,,Ոսկեգույն,,Սեդան,,Ձախ,,EX 3.3,Բենզին,,,132944 մղոն,Ավտոմատ,
Kia, Տեղադրված է՝  21.12.2018, ID: 1941983,Carens ,3 700 $,2006,,Սև,,Ունիվերսալ,139,Ձախ,,Հեղուկ գազ+Բենզին,Բենզին,2,Մոխրագույն,96600 կմ,Մեխանիկական,Առջևի
Opel, Տեղադրված է՝  21.12.2018, ID: 1941981,Combo ,4 500 $,2005,,Կապույտ,,Ֆուրգոն,,Ձախ,,"benzin+gaz,CNG ԳԱԶ,Նոր բերված",Գազ,1.6,,157000 կմ,Մեխանիկական,
Opel, Տեղադրված է՝  21.12.2018, ID: 1941980,Combo ,5 200 $,2008,,Սպիտակ,,Ունիվերսալ,,Ձախ,,1.6CNG,Բենզին,,,110000 կմ,Մեխանիկական,
Kia, Տեղադրված է՝  21.12.2018, ID: 1941969,Forte ,6 000 $,2011,"16""",Սպիտակ,4,Սեդան,,Ձախ,4,EX,Բենզին,2,,72500 մղոն,Ավտոմատ,Առջևի
